4.0281,1
5.8503,1
6.7986,1
10.0775,0
7.1832,1
8.7025,0
8.2392,0
8.8888,0
5.8739,0
10.5287,0
7.0580,1
8.0204,1
5.0117,1
3.7514,1
5.1716,1
5.7061,0
6.3729,1
5.3831,1
4.9858,1
9.0607,0
7.1316,0
1.6726,1
9.1562,0
5.6563,1
3.1740,1
8.9678,0
5.9173,1
2.2208,1
2.7470,1
4.3256,1
11.6598,0
4.7898,1
2.1830,1
0.7319,1
7.1508,0
4.2218,1
3.2430,1
7.3148,0
7.5639,1
4.9106,1
5.6157,1
9.0448,0
3.6783,1
5.7036,1
4.1806,1
10.4852,0
9.9403,0
5.1112,1
5.0283,1
6.5257,1
5.7161,1
2.4065,1
8.9777,0
8.3446,0
4.1939,1
4.4614,0
8.8413,0
5.9708,0
10.6505,0
4.0104,1
2.6105,1
8.0810,0
2.7631,1
4.8897,1
7.3181,1
7.0329,1
8.1237,0
0.2833,1
3.8149,1
4.6159,1
8.8638,0
0.6627,1
2.0771,1
3.6232,1
9.0536,0
3.0747,1
10.8542,0
1.9063,1
5.1379,1
9.8026,0
1.8272,1
8.5326,1
8.7309,0
6.0223,1
10.8869,0
9.1307,0
5.9482,1
2.8101,1
5.6744,1
1.8448,1
3.9105,1
1.8646,1
2.9302,1
4.3596,1
3.4231,1
9.8946,0
6.0300,1
8.1781,1
9.2719,0
2.7645,1
11.2341,0
9.2664,0
2.0453,1
1.1842,1
4.5148,1
8.8945,0
1.0279,1
2.6882,1
3.5525,1
8.3301,0
3.5551,1
2.6420,1
5.7684,1
1.4015,1
3.2267,1
7.9650,0
3.7710,1
0.0941,1
3.7234,1
6.2152,0
8.7746,0
8.4975,0
9.5673,0
1.4017,1
4.3744,1
8.4607,1
7.8703,1
3.6668,1
4.9964,1
3.2018,1
3.7840,1
3.1216,1
3.3578,1
7.7622,0
2.2758,1
9.5009,0
7.7624,0
8.7630,0
1.9746,1
3.9521,1
10.7875,0
5.6658,1
4.1089,1
7.7051,0
2.8375,1
4.5747,1
3.3071,1
9.3055,0
3.4616,1
6.4424,1
